name,year,shot_made_flag,isClutch,shot_distance,defender_distance,defender_height,action_type,dribbles,touch_time
James Anderson,2014,1,0,24,4.8,82.0,Jump Shot,0,0.8
James Anderson,2014,1,0,24,7.6,75.0,Jump Shot,0,1.1
James Anderson,2014,1,0,22,9.0,83.0,Jump Shot,0,0.8
Paul Pierce,2014,1,0,24,4.5,77.0,Jump Shot,0,1.2
Michael Beasley,2014,1,0,25,11.6,84.0,Jump Shot,0,0.9
Norris Cole,2014,1,0,25,5.2,82.0,Jump Shot,9,7.8
Patrick Beverley,2014,1,0,25,5.4,74.0,Jump Shot,0,0.8
James Harden,2014,1,0,24,3.6,76.0,Jump Shot,0,1.1
Patrick Beverley,2014,1,0,23,7.6,81.0,Jump Shot,0,1.1
Patrick Beverley,2014,1,0,25,5.1,74.0,Jump Shot,0,1.1
Draymond Green,2014,0,0,26,2.5,81.0,Jump Shot,3,3.6
Draymond Green,2014,1,0,25,6.0,81.0,Jump Shot,0,0.9
Paul Pierce,2014,1,0,24,4.0,75.0,Jump Shot,0,1.1
Stephen Curry,2014,1,0,25,5.0,75.0,Jump Shot,10,7.3
Patrick Beverley,2014,1,0,26,21.8,83.0,Jump Shot,1,1.9
Stephen Curry,2014,1,0,24,9.4,75.0,Jump Shot,0,0.9
Klay Thompson,2014,1,0,25,4.7,80.0,Jump Shot,0,0.7
Paul George,2014,1,0,25,5.4,78.0,Jump Shot,4,4.0
Paul George,2014,1,0,25,4.8,78.0,Jump Shot,0,1.7
Manu Ginobili,2014,1,0,24,6.0,84.0,Jump Shot,0,1.1
Kawhi Leonard,2014,1,0,24,6.6,81.0,Jump Shot,0,0.9
Danny Green,2014,0,0,26,16.8,75.0,Jump Shot,0,0.9
Danny Green,2014,1,0,25,8.1,74.0,Jump Shot,0,0.8
Danny Green,2014,0,0,26,6.5,75.0,Jump Shot,0,0.9
Manu Ginobili,2014,1,0,25,5.5,74.0,Jump Shot,1,2.0
Danny Green,2014,1,0,25,5.3,75.0,Jump Shot,0,0.8
Manu Ginobili,2014,1,0,25,4.7,75.0,Jump Shot,0,0.8
Marco Belinelli,2014,0,0,27,3.5,75.0,Jump Shot,5,4.7
Kawhi Leonard,2014,1,0,23,6.3,81.0,Jump Shot,0,0.9
Danny Green,2014,0,0,26,4.8,81.0,Jump Shot,3,3.0
Dion Waiters,2014,0,0,49,8.8,73.0,Jump Shot,0,0.5
Dion Waiters,2014,1,0,25,5.8,77.0,Jump Shot,1,1.7
Kyrie Irving,2014,1,0,26,3.3,74.0,Jump Shot,14,10.5
Dion Waiters,2014,1,0,28,4.2,79.0,Jump Shot,0,0.8
Kyrie Irving,2014,1,0,25,5.7,78.0,Jump Shot,14,14.6
Kyrie Irving,2014,0,0,25,5.7,79.0,Jump Shot,0,1.2
Eric Gordon,2014,1,0,25,4.6,75.0,Jump Shot,0,0.7
Tyreke Evans,2014,1,0,25,6.8,80.0,Jump Shot,9,9.6
Deron Williams,2014,1,0,25,16.3,75.0,Jump Shot,0,1.2
Marvin Williams,2014,0,0,25,5.1,80.0,Jump Shot,0,0.8
Joe Johnson,2014,1,0,23,3.9,77.0,Jump Shot,0,0.8
Kevin Love,2014,1,0,24,7.0,83.0,Jump Shot,0,0.8
Kevin Love,2014,1,0,25,5.1,80.0,Jump Shot,0,1.2
Chase Budinger,2014,1,0,24,5.8,80.0,Jump Shot,0,0.9
Kevin Love,2014,1,0,26,7.1,83.0,Jump Shot,0,0.9
Marvin Williams,2014,0,0,25,2.8,81.0,Jump Shot,0,0.4
Eric Gordon,2014,1,0,23,7.0,81.0,Jump Shot,0,1.1
Austin Rivers,2014,0,0,29,2.8,75.0,Jump Shot,3,3.7
Tyreke Evans,2014,1,0,26,2.6,75.0,Jump Shot,0,1.2
Anthony Davis,2014,0,0,25,5.7,79.0,Jump Shot,0,0.9
Eric Gordon,2014,1,0,26,5.6,74.0,Jump Shot,0,0.8
Brian Roberts,2014,1,0,25,9.1,79.0,Jump Shot,0,2.4
Brandon Knight,2014,0,0,25,7.0,73.0,Jump Shot,12,10.6
Khris Middleton,2014,0,0,23,2.1,75.0,Jump Shot,0,1.2
Khris Middleton,2014,1,0,24,8.5,86.0,Jump Shot,0,0.0
Brandon Knight,2014,1,0,26,6.3,75.0,Jump Shot,0,1.1
Khris Middleton,2014,1,0,24,6.1,82.0,Jump Shot,0,0.9
Brandon Knight,2014,1,0,27,5.9,73.0,Jump Shot,0,1.0
Jose Calderon,2014,1,0,24,3.9,74.0,Jump Shot,0,0.8
