name,year,shot_made_flag,isClutch,shot_distance,defender_distance,defender_height,action_type,dribbles,touch_time
Zach Randolph,2014,0,0,16,1.8,82.0,Fadeaway Jump Shot,3,4.3
Kyle Korver,2014,1,0,15,3.3,75.0,Fadeaway Jump Shot,1,2.2
LeBron James,2014,1,0,12,3.9,80.0,Fadeaway Jump Shot,18,13.1
DeMar DeRozan,2014,0,0,16,3.1,80.0,Fadeaway Jump Shot,0,2.4
LeBron James,2014,0,0,19,4.8,79.0,Fadeaway Jump Shot,1,1.5
Gerald Green,2014,1,0,11,3.9,73.0,Fadeaway Jump Shot,5,4.9
Vince Carter,2014,0,0,14,4.1,81.0,Fadeaway Jump Shot,4,3.4
Jeff Green,2014,1,0,15,2.5,77.0,Fadeaway Jump Shot,0,1.0
Paul Millsap,2014,0,0,11,4.7,80.0,Fadeaway Jump Shot,0,2.5
Gerald Henderson,2014,1,0,13,3.7,78.0,Fadeaway Jump Shot,1,3.7
Jimmy Butler,2014,0,0,19,2.3,73.0,Fadeaway Jump Shot,0,1.3
Marco Belinelli,2014,1,0,18,6.1,81.0,Fadeaway Jump Shot,0,0.0
Evan Turner,2014,1,0,16,2.3,80.0,Fadeaway Jump Shot,2,2.6
Carmelo Anthony,2014,1,0,17,2.9,80.0,Fadeaway Jump Shot,1,3.0
Dirk Nowitzki,2014,1,0,15,5.6,80.0,Fadeaway Jump Shot,3,6.1
Dirk Nowitzki,2014,0,0,15,5.6,83.0,Fadeaway Jump Shot,0,1.0
Ty Lawson,2014,0,0,11,4.2,83.0,Fadeaway Jump Shot,8,8.0
Rudy Gay,2014,0,0,11,3.7,78.0,Fadeaway Jump Shot,0,0.7
Jameer Nelson,2014,0,0,13,4.2,82.0,Fadeaway Jump Shot,21,19.7
Mo Williams,2014,1,0,12,6.5,78.0,Fadeaway Jump Shot,1,2.7
Kevin Durant,2014,0,0,11,3.3,78.0,Fadeaway Jump Shot,1,3.0
Anthony Morrow,2014,1,0,11,4.5,82.0,Fadeaway Jump Shot,3,3.5
Isaiah Thomas,2014,1,0,19,2.9,75.0,Fadeaway Jump Shot,3,2.3
Kevin Durant,2014,0,0,10,2.3,78.0,Fadeaway Jump Shot,0,0.1
Anthony Morrow,2014,1,0,16,2.7,80.0,Fadeaway Jump Shot,4,3.6
Markieff Morris,2014,0,0,10,4.8,82.0,Fadeaway Jump Shot,1,1.5
JR Smith,2014,0,0,21,4.0,77.0,Fadeaway Jump Shot,2,4.4
